,CBERT-R,CBERT-P,CBERT-F,BERTScore-R,BERTScore-P,BERTScore-F,BARTScore,R-1,R-2,R-L
28,0.65,0.57,0.61,0.84,0.83,0.84,0.27,0.29,0.04,0.11
29,0.8,0.67,0.73,0.82,0.81,0.81,0.34,0.35,0.08,0.15
30,0.73,0.63,0.67,0.82,0.82,0.82,0.29,0.37,0.1,0.19
31,0.67,0.52,0.59,0.82,0.79,0.81,0.24,0.2,0.02,0.09
32,0.72,0.64,0.68,0.82,0.83,0.83,0.28,0.35,0.1,0.17
33,0.68,0.64,0.66,0.83,0.83,0.83,0.18,0.34,0.06,0.13
34,0.72,0.67,0.69,0.85,0.85,0.85,0.31,0.44,0.18,0.23
35,0.79,0.77,0.78,0.87,0.86,0.87,0.42,0.54,0.3,0.36
36,0.74,0.66,0.69,0.84,0.83,0.83,0.3,0.33,0.09,0.16
37,0.68,0.63,0.65,0.84,0.81,0.83,0.21,0.21,0.07,0.12
38,0.64,0.71,0.67,0.85,0.85,0.85,0.29,0.45,0.13,0.27
39,0.74,0.59,0.66,0.85,0.84,0.85,0.28,0.31,0.08,0.15
40,0.82,0.75,0.78,0.86,0.86,0.86,0.43,0.56,0.27,0.3
41,0.79,0.65,0.71,0.84,0.8,0.82,0.22,0.11,0.02,0.05
42,0.8,0.71,0.76,0.84,0.83,0.84,0.33,0.3,0.09,0.15
43,0.84,0.64,0.73,0.86,0.82,0.84,0.33,0.09,0.04,0.06
44,0.73,0.65,0.69,0.84,0.82,0.83,0.27,0.24,0.07,0.12
45,0.73,0.66,0.69,0.84,0.81,0.82,0.28,0.39,0.09,0.18
46,0.71,0.73,0.72,0.83,0.84,0.83,0.28,0.42,0.12,0.18
47,0.78,0.64,0.7,0.87,0.83,0.85,0.46,0.31,0.2,0.21
48,0.78,0.77,0.78,0.84,0.84,0.84,0.27,0.44,0.14,0.18
49,0.68,0.69,0.68,0.86,0.86,0.86,0.37,0.38,0.23,0.27
50,0.81,0.63,0.71,0.89,0.85,0.87,0.44,0.29,0.12,0.18
51,0.81,0.66,0.73,0.83,0.82,0.83,0.25,0.21,0.07,0.1
52,0.77,0.69,0.73,0.83,0.82,0.82,0.3,0.39,0.14,0.18
53,0.65,0.66,0.65,0.82,0.84,0.83,0.26,0.42,0.15,0.26
54,0.79,0.71,0.75,0.87,0.84,0.85,0.43,0.32,0.13,0.2
55,0.73,0.61,0.66,0.85,0.81,0.83,0.34,0.22,0.07,0.09
56,0.48,0.61,0.54,0.81,0.82,0.81,0.25,0.38,0.06,0.23
57,0.89,0.93,0.91,0.91,0.92,0.91,0.56,0.86,0.72,0.77
58,0.7,0.59,0.64,0.83,0.78,0.8,0.3,0.2,0.03,0.09
59,0.74,0.62,0.67,0.86,0.85,0.86,0.34,0.33,0.1,0.19
60,0.72,0.61,0.66,0.81,0.79,0.8,0.27,0.28,0.04,0.11
61,0.78,0.71,0.75,0.84,0.84,0.84,0.34,0.46,0.17,0.2
62,0.86,0.68,0.76,0.83,0.81,0.82,0.29,0.28,0.07,0.11
63,0.73,0.58,0.64,0.85,0.78,0.81,0.19,0.19,0.05,0.1
64,0.86,0.72,0.79,0.82,0.82,0.82,0.38,0.33,0.12,0.15
65,0.7,0.71,0.71,0.84,0.86,0.85,0.43,0.62,0.28,0.38
66,0.75,0.67,0.71,0.82,0.8,0.81,0.34,0.44,0.12,0.21
67,0.79,0.66,0.72,0.84,0.81,0.83,0.29,0.24,0.07,0.12
68,0.83,0.64,0.72,0.86,0.82,0.84,0.26,0.22,0.06,0.09
69,0.8,0.59,0.68,0.83,0.8,0.81,0.28,0.18,0.05,0.1
70,0.74,0.72,0.73,0.84,0.85,0.84,0.28,0.49,0.19,0.21
71,0.73,0.62,0.67,0.84,0.81,0.82,0.42,0.25,0.07,0.12
72,0.81,0.68,0.74,0.84,0.79,0.82,0.22,0.21,0.07,0.09
73,0.81,0.64,0.72,0.83,0.82,0.83,0.28,0.25,0.07,0.11
74,0.5,0.81,0.62,0.79,0.89,0.84,0.29,0.73,0.33,0.45
75,0.8,0.59,0.68,0.84,0.82,0.83,0.29,0.14,0.03,0.07
76,0.78,0.64,0.7,0.86,0.82,0.84,0.36,0.33,0.11,0.15
77,0.67,0.54,0.6,0.82,0.77,0.79,0.31,0.19,0.04,0.1
78,0.76,0.51,0.61,0.85,0.79,0.82,0.17,0.15,0.02,0.09
79,0.78,0.65,0.71,0.84,0.81,0.82,0.34,0.34,0.08,0.15
80,0.75,0.67,0.7,0.85,0.82,0.84,0.28,0.41,0.13,0.24
81,0.68,0.59,0.63,0.83,0.83,0.83,0.3,0.33,0.11,0.17
82,0.87,0.67,0.76,0.88,0.81,0.84,0.38,0.36,0.17,0.21
83,0.71,0.61,0.66,0.85,0.84,0.85,0.34,0.39,0.13,0.21
84,0.79,0.58,0.67,0.85,0.79,0.82,0.23,0.15,0.03,0.07
85,0.8,0.71,0.75,0.85,0.83,0.84,0.29,0.33,0.08,0.14
86,0.77,0.68,0.72,0.84,0.82,0.83,0.31,0.35,0.08,0.13
87,0.84,0.71,0.77,0.84,0.83,0.83,0.36,0.41,0.13,0.19
88,0.79,0.6,0.68,0.85,0.82,0.84,0.29,0.19,0.04,0.08
89,0.37,0.56,0.44,0.76,0.79,0.77,0.18,0.23,0.02,0.12
90,0.77,0.75,0.76,0.84,0.84,0.84,0.28,0.5,0.14,0.21
91,0.67,0.62,0.64,0.83,0.83,0.83,0.29,0.43,0.14,0.21
92,0.67,0.59,0.63,0.84,0.81,0.82,0.27,0.24,0.03,0.12
93,0.88,0.68,0.77,0.85,0.81,0.83,0.28,0.13,0.04,0.06
94,0.72,0.64,0.68,0.84,0.81,0.82,0.34,0.38,0.15,0.2
95,0.75,0.66,0.7,0.86,0.84,0.85,0.33,0.4,0.1,0.24
96,0.78,0.71,0.75,0.84,0.85,0.85,0.34,0.45,0.2,0.25
97,0.84,0.71,0.77,0.84,0.82,0.83,0.3,0.39,0.1,0.19
98,0.78,0.75,0.76,0.84,0.85,0.85,0.36,0.56,0.24,0.32
99,0.78,0.66,0.72,0.82,0.81,0.81,0.26,0.28,0.05,0.12
100,0.72,0.66,0.69,0.82,0.8,0.81,0.3,0.31,0.06,0.12
101,0.8,0.61,0.69,0.88,0.83,0.86,0.44,0.21,0.11,0.17
102,0.8,0.69,0.74,0.86,0.83,0.84,0.32,0.32,0.11,0.14
103,0.58,0.52,0.55,0.82,0.8,0.81,0.23,0.23,0.05,0.17
104,0.74,0.53,0.61,0.86,0.83,0.85,0.3,0.24,0.09,0.17
105,0.81,0.59,0.68,0.83,0.8,0.82,0.37,0.2,0.07,0.09
106,0.84,0.62,0.71,0.85,0.81,0.83,0.23,0.12,0.03,0.05
107,0.81,0.67,0.73,0.85,0.83,0.84,0.36,0.32,0.11,0.16
108,0.79,0.7,0.74,0.85,0.83,0.84,0.35,0.43,0.16,0.2
109,0.68,0.76,0.72,0.82,0.83,0.83,0.29,0.54,0.15,0.34
110,0.94,0.94,0.94,0.91,0.93,0.92,0.65,0.76,0.69,0.75
111,0.93,0.55,0.69,0.84,0.79,0.81,0.27,0.04,0.02,0.03
112,0.67,0.56,0.61,0.85,0.82,0.83,0.24,0.21,0.02,0.11
113,0.71,0.6,0.65,0.83,0.82,0.83,0.27,0.21,0.03,0.09
114,0.67,0.51,0.58,0.84,0.79,0.81,0.31,0.11,0.01,0.07
115,0.86,0.6,0.71,0.84,0.8,0.82,0.24,0.07,0.02,0.04
116,0.65,0.53,0.59,0.86,0.82,0.84,0.3,0.21,0.05,0.12
117,0.86,0.65,0.74,0.83,0.8,0.82,0.36,0.31,0.11,0.15
118,0.75,0.72,0.73,0.82,0.83,0.82,0.28,0.38,0.08,0.16
119,0.81,0.69,0.75,0.85,0.81,0.83,0.31,0.25,0.07,0.12
120,0.89,0.72,0.79,0.85,0.85,0.85,0.38,0.27,0.12,0.13
121,0.73,0.55,0.62,0.84,0.77,0.8,0.24,0.16,0.03,0.07
122,0.72,0.55,0.63,0.83,0.8,0.81,0.29,0.23,0.04,0.14
123,0.81,0.75,0.78,0.87,0.87,0.87,0.42,0.51,0.31,0.36
124,0.56,0.62,0.59,0.81,0.83,0.82,0.24,0.4,0.07,0.19
125,0.86,0.65,0.74,0.87,0.85,0.86,0.41,0.35,0.14,0.19
126,0.61,0.65,0.63,0.84,0.86,0.85,0.3,0.42,0.14,0.2
127,0.69,0.59,0.64,0.84,0.8,0.82,0.33,0.3,0.09,0.14
128,0.82,0.69,0.75,0.82,0.81,0.82,0.36,0.32,0.09,0.13
129,0.8,0.69,0.74,0.84,0.82,0.83,0.33,0.39,0.12,0.17
130,0.7,0.62,0.66,0.83,0.81,0.82,0.2,0.36,0.05,0.15
131,0.8,0.72,0.76,0.85,0.82,0.84,0.36,0.45,0.16,0.25
132,0.79,0.64,0.71,0.84,0.84,0.84,0.3,0.37,0.16,0.2
133,0.84,0.73,0.78,0.85,0.84,0.84,0.35,0.38,0.15,0.18
134,0.69,0.68,0.68,0.84,0.83,0.84,0.38,0.34,0.08,0.16
135,0.68,0.66,0.67,0.84,0.83,0.83,0.23,0.39,0.08,0.19
136,0.68,0.64,0.66,0.82,0.81,0.81,0.27,0.32,0.08,0.14
137,0.79,0.69,0.74,0.87,0.82,0.84,0.32,0.36,0.13,0.2
138,0.8,0.77,0.79,0.85,0.84,0.85,0.32,0.48,0.18,0.21
139,0.79,0.8,0.79,0.85,0.84,0.85,0.38,0.53,0.25,0.24
140,0.71,0.55,0.62,0.84,0.8,0.82,0.24,0.19,0.02,0.08
141,0.49,0.61,0.54,0.81,0.85,0.83,0.27,0.42,0.05,0.21
142,0.83,0.68,0.75,0.86,0.83,0.84,0.46,0.4,0.2,0.22
143,0.82,0.64,0.72,0.84,0.81,0.82,0.26,0.28,0.1,0.15
144,0.78,0.66,0.72,0.85,0.82,0.83,0.33,0.34,0.12,0.18
145,0.76,0.7,0.73,0.84,0.83,0.84,0.29,0.34,0.12,0.15
146,0.85,0.63,0.72,0.84,0.83,0.83,0.3,0.2,0.07,0.08
147,0.58,0.58,0.58,0.82,0.82,0.82,0.22,0.3,0.06,0.17
148,0.73,0.68,0.7,0.82,0.83,0.83,0.21,0.38,0.09,0.18
149,0.85,0.7,0.77,0.83,0.84,0.83,0.28,0.24,0.07,0.09
150,0.75,0.57,0.65,0.82,0.81,0.81,0.38,0.38,0.12,0.22
151,0.81,0.62,0.7,0.86,0.81,0.83,0.32,0.22,0.06,0.11
152,0.76,0.66,0.71,0.83,0.8,0.81,0.31,0.3,0.09,0.12
153,0.82,0.66,0.73,0.84,0.82,0.83,0.3,0.34,0.1,0.16
154,0.72,0.56,0.63,0.82,0.79,0.8,0.24,0.15,0.02,0.07
155,0.75,0.7,0.72,0.84,0.83,0.84,0.3,0.34,0.1,0.14
156,0.82,0.7,0.75,0.86,0.83,0.84,0.27,0.26,0.12,0.13
157,0.79,0.53,0.63,0.85,0.79,0.82,0.36,0.15,0.05,0.09
158,0.87,0.63,0.73,0.86,0.8,0.83,0.27,0.17,0.04,0.08
159,0.87,0.71,0.78,0.84,0.82,0.83,0.27,0.19,0.08,0.09
160,0.82,0.7,0.75,0.86,0.84,0.85,0.34,0.38,0.14,0.19
161,0.83,0.7,0.76,0.85,0.83,0.84,0.32,0.4,0.12,0.18
162,0.83,0.76,0.79,0.86,0.87,0.87,0.38,0.55,0.24,0.37
163,0.59,0.6,0.6,0.84,0.85,0.84,0.24,0.26,0.04,0.14
164,0.75,0.65,0.7,0.83,0.79,0.81,0.31,0.34,0.09,0.15
165,0.84,0.72,0.78,0.82,0.82,0.82,0.34,0.32,0.12,0.14
166,0.81,0.66,0.73,0.84,0.82,0.83,0.22,0.31,0.08,0.14
167,0.79,0.66,0.72,0.85,0.82,0.83,0.23,0.21,0.08,0.1
168,0.77,0.64,0.7,0.85,0.82,0.84,0.33,0.24,0.07,0.11
169,0.78,0.63,0.7,0.83,0.79,0.81,0.23,0.2,0.05,0.09
170,0.7,0.56,0.62,0.86,0.83,0.84,0.39,0.27,0.1,0.14
171,0.76,0.59,0.66,0.84,0.81,0.82,0.31,0.15,0.03,0.08
172,0.7,0.68,0.69,0.84,0.85,0.85,0.31,0.5,0.21,0.27
173,0.88,0.7,0.78,0.86,0.83,0.85,0.4,0.37,0.11,0.18
174,0.74,0.5,0.6,0.83,0.77,0.8,0.25,0.21,0.05,0.1
175,0.79,0.72,0.75,0.84,0.83,0.83,0.36,0.47,0.23,0.22
176,0.71,0.65,0.68,0.85,0.85,0.85,0.31,0.36,0.1,0.17
177,0.73,0.67,0.7,0.84,0.84,0.84,0.26,0.42,0.08,0.21
178,0.77,0.68,0.72,0.85,0.82,0.83,0.33,0.33,0.1,0.18
179,0.86,0.71,0.78,0.84,0.81,0.83,0.39,0.36,0.17,0.2
180,0.74,0.65,0.69,0.83,0.81,0.82,0.26,0.34,0.09,0.15
181,0.79,0.64,0.71,0.86,0.84,0.85,0.41,0.36,0.09,0.16
182,0.79,0.7,0.74,0.87,0.85,0.86,0.42,0.36,0.15,0.18
183,0.79,0.84,0.82,0.87,0.9,0.88,0.49,0.77,0.59,0.61
184,0.75,0.67,0.71,0.84,0.83,0.83,0.32,0.44,0.11,0.18
185,0.79,0.64,0.7,0.84,0.82,0.83,0.33,0.32,0.12,0.14
186,0.9,0.67,0.77,0.82,0.8,0.81,0.33,0.24,0.1,0.12
187,0.72,0.7,0.71,0.85,0.87,0.86,0.48,0.55,0.42,0.44
188,0.88,0.7,0.78,0.86,0.83,0.84,0.32,0.33,0.1,0.13
189,0.65,0.54,0.59,0.84,0.82,0.83,0.23,0.22,0.05,0.12
190,0.78,0.68,0.73,0.84,0.82,0.83,0.26,0.28,0.07,0.13
191,0.84,0.62,0.71,0.84,0.81,0.83,0.32,0.24,0.1,0.13
192,0.81,0.75,0.78,0.85,0.84,0.85,0.29,0.45,0.14,0.22
193,0.68,0.6,0.64,0.83,0.8,0.81,0.22,0.3,0.03,0.12
194,0.77,0.69,0.73,0.81,0.83,0.82,0.34,0.35,0.06,0.13
195,0.81,0.61,0.7,0.9,0.82,0.86,0.48,0.26,0.14,0.17
196,0.81,0.69,0.75,0.85,0.86,0.85,0.32,0.49,0.23,0.31
197,0.71,0.73,0.72,0.85,0.85,0.85,0.35,0.5,0.17,0.28
198,0.83,0.81,0.82,0.85,0.86,0.85,0.4,0.48,0.22,0.25
199,0.71,0.7,0.71,0.84,0.82,0.83,0.22,0.35,0.08,0.16
200,0.91,0.57,0.7,0.9,0.8,0.85,0.52,0.14,0.1,0.1
201,0.77,0.7,0.74,0.85,0.86,0.85,0.34,0.55,0.22,0.29
202,0.76,0.47,0.58,0.86,0.78,0.82,0.27,0.11,0.03,0.06
203,0.79,0.62,0.7,0.88,0.86,0.87,0.44,0.26,0.14,0.21
204,0.85,0.79,0.82,0.86,0.86,0.86,0.34,0.53,0.2,0.21
205,0.75,0.59,0.66,0.86,0.82,0.84,0.39,0.36,0.11,0.17
206,0.73,0.59,0.65,0.84,0.81,0.83,0.24,0.29,0.05,0.13
207,0.55,0.52,0.53,0.84,0.82,0.83,0.22,0.33,0.05,0.17
208,0.85,0.7,0.77,0.84,0.83,0.84,0.29,0.27,0.08,0.11
209,0.72,0.65,0.69,0.85,0.83,0.84,0.36,0.38,0.14,0.19
210,0.74,0.6,0.66,0.84,0.8,0.82,0.26,0.26,0.06,0.11
211,0.62,0.68,0.65,0.82,0.84,0.83,0.23,0.49,0.12,0.3
212,0.81,0.64,0.72,0.87,0.86,0.87,0.48,0.24,0.13,0.13
213,0.65,0.54,0.59,0.85,0.82,0.83,0.37,0.3,0.11,0.15
214,0.62,0.57,0.59,0.84,0.82,0.83,0.25,0.23,0.04,0.12
215,0.68,0.73,0.7,0.85,0.87,0.86,0.36,0.54,0.16,0.32
216,0.66,0.61,0.64,0.82,0.81,0.82,0.27,0.22,0.03,0.1
217,0.62,0.74,0.68,0.84,0.85,0.84,0.26,0.52,0.09,0.25
218,0.81,0.67,0.74,0.86,0.83,0.84,0.35,0.3,0.11,0.15
219,0.67,0.64,0.66,0.84,0.82,0.83,0.33,0.32,0.05,0.15
220,0.66,0.63,0.65,0.81,0.83,0.82,0.24,0.38,0.1,0.18
221,0.62,0.5,0.55,0.82,0.79,0.8,0.25,0.15,0.01,0.07
222,0.67,0.5,0.57,0.83,0.82,0.82,0.43,0.18,0.05,0.11
223,0.73,0.63,0.67,0.81,0.82,0.82,0.4,0.32,0.11,0.23
224,0.85,0.77,0.81,0.85,0.84,0.84,0.41,0.42,0.21,0.23
225,0.71,0.68,0.7,0.84,0.83,0.83,0.34,0.43,0.12,0.17
226,0.78,0.67,0.72,0.86,0.84,0.85,0.39,0.35,0.11,0.18
227,0.66,0.64,0.65,0.84,0.83,0.83,0.27,0.39,0.09,0.18
228,0.81,0.62,0.7,0.85,0.8,0.82,0.29,0.17,0.04,0.08
229,0.75,0.69,0.72,0.85,0.84,0.84,0.25,0.36,0.1,0.16
230,0.73,0.64,0.68,0.81,0.8,0.8,0.25,0.34,0.08,0.15
231,0.77,0.75,0.76,0.84,0.85,0.85,0.27,0.57,0.25,0.32
232,0.73,0.67,0.7,0.82,0.84,0.83,0.29,0.42,0.09,0.16
233,0.7,0.63,0.66,0.83,0.82,0.82,0.28,0.32,0.06,0.1
234,0.87,0.73,0.8,0.84,0.83,0.83,0.35,0.34,0.11,0.15
235,0.88,0.76,0.82,0.88,0.87,0.88,0.55,0.5,0.37,0.35
236,0.83,0.67,0.74,0.84,0.82,0.83,0.32,0.25,0.09,0.11
237,0.79,0.72,0.75,0.83,0.82,0.82,0.4,0.28,0.11,0.14
238,0.78,0.58,0.67,0.85,0.81,0.83,0.28,0.24,0.05,0.11
239,0.71,0.8,0.75,0.81,0.85,0.83,0.29,0.65,0.37,0.48
240,0.71,0.7,0.7,0.82,0.84,0.83,0.22,0.48,0.13,0.23
241,0.79,0.76,0.78,0.86,0.87,0.86,0.33,0.53,0.22,0.26
242,0.8,0.72,0.76,0.83,0.84,0.84,0.33,0.49,0.12,0.21
243,0.84,0.7,0.76,0.84,0.84,0.84,0.31,0.39,0.16,0.22
244,0.85,0.69,0.76,0.83,0.81,0.82,0.29,0.21,0.08,0.1
245,0.8,0.69,0.74,0.83,0.81,0.82,0.28,0.32,0.08,0.13
246,0.63,0.59,0.61,0.84,0.84,0.84,0.34,0.31,0.08,0.15
247,0.64,0.67,0.65,0.84,0.83,0.83,0.33,0.41,0.13,0.17
248,0.78,0.61,0.68,0.84,0.81,0.83,0.26,0.17,0.05,0.09
249,0.8,0.58,0.67,0.83,0.79,0.81,0.22,0.11,0.03,0.07
250,0.8,0.67,0.73,0.85,0.8,0.82,0.36,0.39,0.16,0.18
251,0.74,0.55,0.63,0.82,0.78,0.8,0.31,0.18,0.03,0.08
252,0.77,0.71,0.74,0.84,0.83,0.83,0.27,0.34,0.1,0.13
253,0.8,0.67,0.73,0.85,0.82,0.84,0.33,0.38,0.11,0.16
254,0.73,0.62,0.67,0.82,0.83,0.82,0.22,0.44,0.13,0.23
255,0.57,0.53,0.55,0.81,0.8,0.81,0.22,0.27,0.05,0.15
256,0.72,0.44,0.54,0.85,0.76,0.81,0.35,0.13,0.05,0.08
257,0.87,0.62,0.73,0.85,0.8,0.83,0.26,0.12,0.04,0.07
258,0.76,0.61,0.68,0.85,0.82,0.83,0.4,0.32,0.09,0.14
259,0.76,0.63,0.69,0.84,0.83,0.84,0.32,0.33,0.08,0.14
260,0.82,0.72,0.77,0.83,0.82,0.82,0.32,0.35,0.11,0.15
261,0.62,0.79,0.69,0.82,0.88,0.85,0.32,0.6,0.37,0.4
262,0.64,0.63,0.64,0.85,0.85,0.85,0.33,0.39,0.13,0.21
263,0.74,0.71,0.72,0.83,0.82,0.83,0.26,0.47,0.14,0.21
264,0.86,0.59,0.7,0.82,0.8,0.81,0.32,0.13,0.04,0.07
265,0.56,0.57,0.57,0.8,0.82,0.81,0.31,0.36,0.05,0.21
266,0.78,0.62,0.69,0.84,0.82,0.83,0.33,0.27,0.07,0.12
267,0.69,0.55,0.61,0.85,0.83,0.84,0.27,0.22,0.04,0.12
268,0.72,0.71,0.71,0.81,0.83,0.82,0.3,0.49,0.2,0.3
269,0.74,0.62,0.68,0.83,0.81,0.82,0.29,0.34,0.08,0.16
270,0.77,0.7,0.73,0.83,0.83,0.83,0.26,0.44,0.12,0.22
271,0.63,0.58,0.61,0.8,0.8,0.8,0.34,0.36,0.04,0.19
272,0.82,0.69,0.75,0.86,0.83,0.84,0.24,0.29,0.06,0.14
273,0.8,0.62,0.7,0.85,0.82,0.84,0.31,0.21,0.03,0.09
274,0.82,0.71,0.76,0.85,0.82,0.83,0.31,0.27,0.09,0.13
275,0.62,0.61,0.61,0.82,0.83,0.83,0.33,0.38,0.2,0.28
276,0.63,0.5,0.56,0.83,0.8,0.82,0.33,0.14,0.05,0.1
277,0.84,0.7,0.77,0.86,0.83,0.84,0.45,0.31,0.17,0.2
278,0.81,0.65,0.72,0.85,0.81,0.83,0.4,0.34,0.13,0.15
279,0.8,0.73,0.76,0.84,0.83,0.83,0.28,0.34,0.1,0.15
280,0.63,0.49,0.55,0.84,0.79,0.81,0.23,0.11,0.01,0.08
281,0.7,0.62,0.66,0.84,0.81,0.82,0.26,0.34,0.06,0.13
282,0.72,0.56,0.63,0.84,0.76,0.8,0.25,0.14,0.04,0.09
283,0.88,0.8,0.84,0.87,0.86,0.87,0.47,0.57,0.32,0.34
284,0.74,0.61,0.67,0.83,0.79,0.81,0.22,0.2,0.05,0.09
285,0.88,0.78,0.83,0.86,0.87,0.86,0.44,0.61,0.28,0.33
286,0.82,0.63,0.71,0.84,0.81,0.82,0.24,0.23,0.06,0.11
287,0.81,0.65,0.72,0.84,0.82,0.83,0.28,0.24,0.06,0.1
288,0.7,0.64,0.67,0.84,0.83,0.84,0.27,0.37,0.09,0.15
289,0.74,0.61,0.67,0.87,0.83,0.84,0.38,0.16,0.07,0.08
290,0.74,0.75,0.75,0.83,0.85,0.84,0.28,0.49,0.21,0.25
291,0.8,0.68,0.73,0.85,0.83,0.84,0.3,0.31,0.11,0.15
292,0.73,0.58,0.65,0.83,0.77,0.8,0.29,0.24,0.05,0.11
293,0.68,0.63,0.65,0.83,0.8,0.81,0.26,0.34,0.07,0.15
294,0.82,0.65,0.73,0.84,0.82,0.83,0.35,0.29,0.09,0.13
295,0.75,0.69,0.72,0.83,0.84,0.84,0.29,0.43,0.15,0.23
296,0.72,0.6,0.66,0.84,0.81,0.83,0.27,0.2,0.05,0.11
297,0.69,0.7,0.69,0.86,0.87,0.87,0.44,0.42,0.25,0.3
298,0.78,0.64,0.7,0.81,0.79,0.8,0.25,0.22,0.05,0.09
299,0.73,0.68,0.71,0.85,0.84,0.85,0.34,0.39,0.12,0.2
300,0.63,0.58,0.61,0.81,0.81,0.81,0.21,0.19,0.03,0.11
301,0.69,0.66,0.68,0.82,0.81,0.82,0.23,0.37,0.07,0.15
302,0.69,0.67,0.68,0.85,0.83,0.84,0.34,0.44,0.2,0.22
303,0.89,0.69,0.78,0.86,0.84,0.85,0.39,0.37,0.17,0.19
304,0.81,0.67,0.74,0.83,0.8,0.81,0.32,0.2,0.08,0.09
305,0.78,0.79,0.79,0.85,0.87,0.86,0.36,0.61,0.32,0.36
306,0.71,0.75,0.73,0.81,0.86,0.83,0.3,0.65,0.18,0.32
307,0.69,0.59,0.64,0.85,0.83,0.84,0.29,0.2,0.04,0.08
308,0.68,0.7,0.69,0.84,0.83,0.84,0.33,0.49,0.24,0.34
309,0.86,0.75,0.8,0.89,0.87,0.88,0.47,0.49,0.28,0.34
310,0.71,0.58,0.64,0.84,0.81,0.83,0.31,0.35,0.1,0.18
311,0.85,0.73,0.79,0.85,0.83,0.84,0.3,0.35,0.14,0.16
312,0.76,0.72,0.74,0.83,0.84,0.83,0.28,0.44,0.11,0.18
313,0.8,0.67,0.73,0.85,0.82,0.84,0.24,0.29,0.09,0.13
314,0.71,0.78,0.74,0.83,0.85,0.84,0.23,0.61,0.17,0.23
315,0.62,0.56,0.59,0.86,0.84,0.85,0.3,0.33,0.07,0.17
316,0.53,0.52,0.52,0.78,0.79,0.79,0.19,0.19,0.01,0.11
317,0.88,0.79,0.83,0.86,0.88,0.87,0.38,0.65,0.34,0.44
318,0.82,0.67,0.74,0.84,0.82,0.83,0.4,0.32,0.08,0.16
319,0.71,0.57,0.63,0.82,0.81,0.81,0.25,0.33,0.08,0.15
320,0.68,0.54,0.6,0.84,0.79,0.81,0.23,0.16,0.03,0.09
321,0.74,0.68,0.71,0.84,0.83,0.84,0.32,0.42,0.15,0.22
322,0.61,0.65,0.63,0.83,0.85,0.84,0.21,0.37,0.1,0.2
323,0.71,0.48,0.57,0.87,0.8,0.84,0.39,0.16,0.07,0.07
324,0.86,0.57,0.68,0.85,0.8,0.82,0.31,0.12,0.04,0.06
325,0.81,0.63,0.71,0.85,0.81,0.83,0.36,0.27,0.09,0.14
326,0.75,0.57,0.65,0.85,0.81,0.83,0.37,0.24,0.07,0.09
327,0.76,0.67,0.71,0.83,0.82,0.83,0.24,0.3,0.08,0.12
328,0.69,0.49,0.57,0.86,0.82,0.84,0.26,0.18,0.02,0.08
329,0.52,0.45,0.48,0.82,0.8,0.81,0.15,0.13,0.0,0.09
