,CBERT-R,CBERT-P,CBERT-F,BERTScore-R,BERTScore-P,BERTScore-F,BARTScore,R-1,R-2,R-L
67,0.66,0.51,0.58,0.87,0.8,0.83,0.37,0.2,0.1,0.15
68,0.8,0.68,0.73,0.86,0.81,0.84,0.29,0.35,0.15,0.17
69,0.72,0.52,0.6,0.88,0.79,0.83,0.4,0.18,0.1,0.09
70,0.88,0.79,0.83,0.88,0.84,0.86,0.55,0.32,0.24,0.23
71,0.78,0.65,0.71,0.86,0.81,0.84,0.36,0.27,0.13,0.17
72,0.9,0.73,0.81,0.89,0.84,0.86,0.45,0.23,0.12,0.16
73,0.64,0.81,0.72,0.83,0.84,0.83,0.27,0.66,0.24,0.3
74,0.77,0.64,0.7,0.84,0.78,0.81,0.29,0.17,0.05,0.09
75,0.6,0.67,0.63,0.83,0.81,0.82,0.36,0.31,0.09,0.12
76,0.82,0.68,0.75,0.88,0.82,0.85,0.39,0.35,0.16,0.17
77,0.87,0.79,0.83,0.89,0.84,0.87,0.48,0.43,0.25,0.3
78,0.84,0.59,0.69,0.91,0.82,0.86,0.56,0.2,0.16,0.19
79,0.77,0.82,0.79,0.84,0.83,0.84,0.35,0.63,0.32,0.32
80,0.86,0.79,0.83,0.88,0.85,0.87,0.47,0.62,0.39,0.45
81,0.76,0.61,0.68,0.85,0.83,0.84,0.35,0.38,0.15,0.22
82,0.74,0.64,0.69,0.86,0.81,0.84,0.32,0.19,0.07,0.11
83,0.87,0.65,0.74,0.88,0.84,0.86,0.47,0.22,0.1,0.12
84,0.76,0.52,0.62,0.88,0.78,0.82,0.48,0.12,0.06,0.08
85,0.78,0.59,0.67,0.85,0.81,0.83,0.34,0.23,0.06,0.11
86,0.83,0.64,0.72,0.83,0.79,0.81,0.37,0.16,0.07,0.09
87,0.48,0.85,0.62,0.79,0.86,0.82,0.24,0.71,0.46,0.64
88,0.8,0.71,0.76,0.85,0.82,0.84,0.37,0.35,0.14,0.18
89,0.74,0.66,0.7,0.86,0.83,0.84,0.35,0.23,0.1,0.13
90,0.88,0.8,0.84,0.83,0.82,0.82,0.41,0.36,0.21,0.21
91,0.67,0.66,0.66,0.86,0.84,0.85,0.34,0.39,0.18,0.21
92,0.64,0.59,0.61,0.86,0.81,0.84,0.27,0.21,0.07,0.13
93,0.59,0.49,0.53,0.82,0.75,0.78,0.25,0.14,0.01,0.08
94,0.66,0.59,0.62,0.83,0.81,0.82,0.35,0.34,0.14,0.13
95,0.78,0.68,0.73,0.87,0.83,0.85,0.42,0.29,0.13,0.2
96,0.75,0.65,0.7,0.84,0.8,0.82,0.29,0.25,0.09,0.12
97,0.63,0.64,0.63,0.85,0.86,0.85,0.34,0.68,0.28,0.35
98,0.82,0.83,0.82,0.87,0.87,0.87,0.45,0.68,0.39,0.46
99,0.71,0.71,0.71,0.87,0.83,0.85,0.39,0.39,0.19,0.24
