,CBERT-R,CBERT-P,CBERT-F,BERTScore-R,BERTScore-P,BERTScore-F,BARTScore,R-1,R-2,R-L
351,0.81,0.68,0.74,0.86,0.83,0.85,0.3,0.27,0.08,0.11
352,0.88,0.66,0.75,0.87,0.82,0.84,0.35,0.13,0.07,0.08
353,0.91,0.66,0.76,0.88,0.81,0.84,0.5,0.25,0.17,0.15
354,0.83,0.62,0.71,0.82,0.79,0.81,0.28,0.18,0.05,0.09
355,0.82,0.56,0.66,0.84,0.8,0.82,0.33,0.1,0.03,0.05
356,0.87,0.72,0.79,0.87,0.83,0.85,0.3,0.28,0.12,0.13
357,0.82,0.64,0.72,0.84,0.83,0.83,0.33,0.15,0.07,0.09
358,0.86,0.75,0.8,0.86,0.85,0.85,0.33,0.26,0.13,0.14
359,0.81,0.67,0.74,0.85,0.83,0.84,0.33,0.31,0.08,0.12
360,0.92,0.67,0.78,0.83,0.82,0.82,0.41,0.15,0.09,0.08
361,0.81,0.54,0.65,0.84,0.78,0.81,0.3,0.11,0.03,0.06
362,0.86,0.74,0.79,0.83,0.82,0.83,0.37,0.18,0.1,0.1
363,0.91,0.69,0.79,0.87,0.84,0.85,0.42,0.19,0.11,0.13
364,0.93,0.76,0.84,0.85,0.84,0.84,0.29,0.27,0.17,0.17
365,0.9,0.6,0.72,0.86,0.81,0.83,0.25,0.06,0.03,0.04
366,0.88,0.73,0.8,0.84,0.82,0.83,0.38,0.27,0.13,0.14
367,0.89,0.71,0.79,0.86,0.83,0.84,0.33,0.4,0.2,0.23
368,0.64,0.57,0.6,0.84,0.82,0.83,0.24,0.21,0.07,0.12
369,0.92,0.73,0.81,0.84,0.83,0.84,0.28,0.09,0.04,0.05
370,0.86,0.61,0.71,0.83,0.78,0.81,0.21,0.04,0.01,0.02
371,0.89,0.74,0.81,0.85,0.84,0.85,0.39,0.26,0.15,0.14
372,0.89,0.68,0.77,0.82,0.82,0.82,0.23,0.15,0.05,0.07
373,0.76,0.69,0.72,0.85,0.83,0.84,0.25,0.19,0.04,0.11
374,0.87,0.69,0.77,0.85,0.85,0.85,0.38,0.17,0.08,0.08
375,0.89,0.51,0.65,0.83,0.79,0.81,0.31,0.07,0.02,0.03
376,0.78,0.63,0.7,0.82,0.79,0.81,0.31,0.11,0.03,0.05
377,0.9,0.69,0.78,0.81,0.81,0.81,0.4,0.27,0.13,0.14
378,0.87,0.76,0.81,0.82,0.82,0.82,0.21,0.18,0.1,0.1
379,0.89,0.7,0.79,0.8,0.8,0.8,0.33,0.12,0.06,0.07
380,0.9,0.74,0.82,0.84,0.83,0.84,0.34,0.29,0.13,0.13
381,0.91,0.7,0.79,0.84,0.83,0.83,0.28,0.11,0.05,0.07
382,0.68,0.99,0.81,0.85,0.92,0.88,0.34,1.0,0.96,1.0
383,0.78,0.62,0.69,0.84,0.81,0.82,0.22,0.21,0.04,0.08
384,0.87,0.71,0.78,0.84,0.84,0.84,0.26,0.24,0.08,0.09
385,0.93,0.75,0.83,0.83,0.83,0.83,0.27,0.11,0.06,0.07
386,0.77,0.64,0.7,0.84,0.81,0.83,0.2,0.16,0.03,0.07
387,0.87,0.6,0.71,0.83,0.81,0.82,0.28,0.15,0.05,0.07
388,0.88,0.68,0.77,0.82,0.81,0.81,0.24,0.16,0.07,0.08
389,0.74,0.53,0.62,0.82,0.81,0.82,0.31,0.16,0.05,0.11
390,0.94,0.63,0.76,0.91,0.85,0.88,0.58,0.23,0.17,0.21
391,0.91,0.75,0.83,0.8,0.83,0.81,0.31,0.16,0.07,0.09
392,0.85,0.64,0.73,0.86,0.82,0.84,0.33,0.21,0.1,0.11
393,0.93,0.73,0.82,0.83,0.83,0.83,0.31,0.1,0.06,0.06
394,0.91,0.72,0.8,0.82,0.81,0.81,0.31,0.1,0.04,0.06
395,0.84,0.65,0.73,0.84,0.81,0.83,0.27,0.14,0.05,0.08
396,0.83,0.57,0.68,0.87,0.82,0.84,0.25,0.09,0.03,0.06
397,0.88,0.63,0.73,0.84,0.8,0.82,0.34,0.15,0.07,0.09
398,0.84,0.74,0.79,0.84,0.85,0.84,0.34,0.25,0.13,0.16
399,0.82,0.62,0.71,0.84,0.82,0.83,0.25,0.13,0.04,0.07
400,0.84,0.73,0.78,0.86,0.83,0.85,0.37,0.35,0.2,0.24
401,0.85,0.65,0.73,0.84,0.82,0.83,0.31,0.12,0.03,0.06
402,0.71,0.55,0.62,0.84,0.82,0.83,0.23,0.15,0.02,0.07
403,0.84,0.7,0.76,0.84,0.82,0.83,0.35,0.15,0.08,0.09
404,0.7,0.52,0.6,0.86,0.82,0.84,0.25,0.17,0.08,0.1
405,0.68,0.6,0.63,0.83,0.8,0.81,0.23,0.14,0.03,0.08
406,0.85,0.61,0.71,0.83,0.77,0.8,0.39,0.11,0.06,0.1
407,0.76,0.51,0.61,0.84,0.8,0.82,0.3,0.07,0.01,0.04
408,0.82,0.67,0.73,0.83,0.81,0.82,0.33,0.18,0.07,0.11
409,0.93,0.71,0.8,0.9,0.87,0.89,0.53,0.19,0.13,0.14
410,0.91,0.71,0.79,0.86,0.85,0.85,0.33,0.15,0.08,0.08
411,0.91,0.63,0.75,0.84,0.84,0.84,0.19,0.09,0.03,0.04
412,0.82,0.67,0.74,0.8,0.82,0.81,0.28,0.16,0.05,0.08
413,0.86,0.5,0.63,0.85,0.79,0.82,0.28,0.05,0.02,0.03
414,0.84,0.78,0.81,0.85,0.85,0.85,0.35,0.29,0.18,0.15
415,0.81,0.64,0.71,0.83,0.81,0.82,0.34,0.22,0.07,0.11
416,0.88,0.65,0.75,0.84,0.83,0.84,0.29,0.12,0.05,0.06
417,0.9,0.68,0.78,0.84,0.82,0.83,0.26,0.14,0.06,0.07
418,0.92,0.65,0.76,0.84,0.8,0.82,0.38,0.06,0.03,0.04
419,0.77,0.73,0.75,0.83,0.82,0.83,0.28,0.3,0.11,0.14
420,0.84,0.73,0.78,0.85,0.84,0.85,0.26,0.38,0.14,0.16
421,0.9,0.65,0.75,0.84,0.83,0.83,0.37,0.14,0.08,0.08
422,0.83,0.65,0.73,0.82,0.82,0.82,0.27,0.16,0.05,0.07
423,0.82,0.69,0.75,0.82,0.8,0.81,0.32,0.17,0.07,0.1
424,0.86,0.63,0.73,0.86,0.82,0.84,0.35,0.27,0.1,0.11
425,0.72,0.51,0.6,0.84,0.78,0.81,0.19,0.08,0.01,0.04
426,0.93,0.77,0.84,0.82,0.8,0.81,0.35,0.17,0.11,0.09
427,0.9,0.74,0.81,0.9,0.84,0.87,0.49,0.33,0.26,0.29
428,0.9,0.79,0.84,0.85,0.84,0.85,0.4,0.12,0.08,0.09
429,0.71,0.63,0.67,0.84,0.78,0.81,0.24,0.28,0.07,0.11
430,0.88,0.66,0.75,0.85,0.84,0.84,0.28,0.11,0.05,0.06
431,0.77,0.51,0.61,0.85,0.78,0.82,0.28,0.11,0.05,0.06
432,0.89,0.68,0.77,0.84,0.83,0.83,0.25,0.28,0.1,0.13
433,0.82,0.69,0.75,0.82,0.83,0.83,0.27,0.24,0.1,0.1
434,0.83,0.67,0.74,0.85,0.82,0.84,0.31,0.12,0.06,0.07
435,0.89,0.65,0.75,0.8,0.82,0.81,0.36,0.24,0.1,0.1
436,0.8,0.62,0.7,0.84,0.82,0.83,0.26,0.19,0.04,0.07
437,0.85,0.69,0.77,0.85,0.83,0.84,0.34,0.28,0.12,0.16
438,0.87,0.74,0.8,0.84,0.83,0.83,0.31,0.31,0.1,0.13
439,0.9,0.61,0.73,0.83,0.79,0.81,0.21,0.08,0.03,0.04
440,0.84,0.6,0.7,0.84,0.81,0.82,0.17,0.08,0.03,0.04
441,0.89,0.74,0.81,0.86,0.84,0.85,0.28,0.3,0.14,0.14
442,0.8,0.61,0.69,0.87,0.82,0.84,0.31,0.17,0.06,0.11
443,0.81,0.62,0.71,0.85,0.81,0.83,0.28,0.14,0.05,0.08
444,0.92,0.72,0.81,0.82,0.82,0.82,0.23,0.19,0.07,0.08
445,0.78,0.69,0.74,0.86,0.83,0.84,0.37,0.28,0.14,0.14
446,0.77,0.59,0.67,0.84,0.81,0.83,0.24,0.13,0.03,0.08
447,0.93,0.71,0.81,0.88,0.83,0.85,0.42,0.21,0.12,0.15
448,0.92,0.74,0.82,0.85,0.83,0.84,0.32,0.16,0.09,0.1
449,0.85,0.72,0.78,0.83,0.81,0.82,0.3,0.21,0.07,0.1
450,0.85,0.67,0.75,0.81,0.81,0.81,0.31,0.13,0.05,0.07
451,0.73,0.65,0.69,0.85,0.81,0.83,0.31,0.25,0.11,0.13
452,0.89,0.63,0.74,0.83,0.79,0.81,0.23,0.1,0.05,0.06
453,0.9,0.74,0.81,0.85,0.84,0.85,0.26,0.22,0.12,0.14
454,0.8,0.59,0.68,0.87,0.83,0.85,0.21,0.15,0.05,0.07
455,0.71,0.63,0.67,0.83,0.82,0.82,0.22,0.16,0.04,0.07
456,0.81,0.76,0.78,0.82,0.83,0.82,0.25,0.28,0.11,0.12
457,0.85,0.64,0.73,0.82,0.8,0.81,0.26,0.12,0.03,0.06
458,0.93,0.79,0.86,0.87,0.86,0.86,0.41,0.32,0.2,0.2
459,0.87,0.68,0.76,0.84,0.83,0.83,0.33,0.2,0.09,0.11
460,0.8,0.58,0.67,0.84,0.77,0.8,0.25,0.1,0.02,0.06
461,0.77,0.58,0.66,0.82,0.78,0.8,0.28,0.11,0.02,0.05
462,0.88,0.73,0.8,0.84,0.82,0.83,0.29,0.2,0.1,0.1
463,0.79,0.57,0.66,0.86,0.81,0.83,0.3,0.13,0.04,0.07
464,0.88,0.7,0.78,0.84,0.84,0.84,0.37,0.31,0.14,0.16
465,0.87,0.75,0.8,0.85,0.84,0.84,0.33,0.27,0.12,0.15
466,0.88,0.72,0.79,0.84,0.83,0.83,0.37,0.32,0.13,0.15
467,0.74,0.54,0.63,0.8,0.78,0.79,0.24,0.09,0.02,0.05
468,0.78,0.65,0.71,0.84,0.81,0.82,0.27,0.17,0.05,0.07
469,0.43,0.43,0.43,0.81,0.83,0.82,0.13,0.16,0.0,0.14
470,0.68,0.56,0.61,0.82,0.81,0.81,0.26,0.28,0.07,0.14
471,0.87,0.67,0.76,0.83,0.82,0.83,0.21,0.12,0.04,0.06
472,0.89,0.7,0.78,0.83,0.83,0.83,0.27,0.11,0.05,0.07
473,0.91,0.66,0.76,0.83,0.83,0.83,0.29,0.17,0.07,0.09
474,0.83,0.71,0.76,0.83,0.82,0.82,0.21,0.24,0.09,0.1
475,0.8,0.58,0.67,0.85,0.8,0.82,0.28,0.18,0.05,0.08
476,0.9,0.71,0.79,0.85,0.83,0.84,0.35,0.15,0.07,0.07
477,0.9,0.73,0.8,0.85,0.83,0.84,0.32,0.32,0.13,0.15
478,0.94,0.68,0.79,0.84,0.82,0.83,0.36,0.23,0.13,0.12
479,0.91,0.65,0.76,0.83,0.79,0.81,0.21,0.07,0.03,0.04
480,0.86,0.63,0.73,0.83,0.82,0.82,0.3,0.09,0.03,0.05
481,0.73,1.0,0.85,0.82,0.91,0.87,0.35,1.0,0.96,1.0
482,0.9,0.78,0.83,0.85,0.83,0.84,0.4,0.2,0.12,0.11
483,0.94,0.71,0.81,0.81,0.79,0.8,0.36,0.13,0.07,0.07
484,0.63,0.54,0.58,0.81,0.78,0.79,0.21,0.15,0.02,0.09
485,0.83,0.73,0.77,0.85,0.83,0.84,0.36,0.33,0.14,0.16
486,0.88,0.8,0.84,0.86,0.85,0.86,0.35,0.46,0.25,0.3
487,0.92,0.63,0.75,0.84,0.81,0.83,0.24,0.07,0.03,0.04
488,0.94,0.71,0.81,0.82,0.82,0.82,0.3,0.17,0.07,0.07
489,0.81,0.5,0.62,0.84,0.79,0.81,0.21,0.07,0.03,0.05
490,0.69,0.57,0.62,0.83,0.82,0.82,0.32,0.17,0.04,0.11
491,0.79,0.6,0.68,0.81,0.76,0.79,0.33,0.19,0.09,0.11
492,0.92,0.71,0.8,0.84,0.85,0.84,0.25,0.17,0.08,0.08
493,0.89,0.67,0.76,0.82,0.81,0.82,0.27,0.15,0.05,0.07
494,0.88,0.78,0.83,0.84,0.84,0.84,0.34,0.34,0.16,0.17
495,0.95,0.63,0.76,0.86,0.83,0.84,0.35,0.11,0.05,0.05
496,0.87,0.57,0.69,0.84,0.81,0.82,0.26,0.08,0.03,0.04
497,0.83,0.71,0.76,0.84,0.82,0.83,0.33,0.3,0.12,0.14
498,0.85,0.74,0.79,0.85,0.84,0.85,0.37,0.34,0.14,0.14
499,0.89,0.65,0.75,0.84,0.84,0.84,0.25,0.12,0.05,0.06
